time_perf,ql_0,ql_1,ql_2,ql_3,ql_4,ql_5,qr_0,qr_1,qr_2,qr_3,qr_4,qr_5,hip_base_roll,hip_base_pitch,hip_base_yaw,hip_qw,hip_qx,hip_qy,hip_qz
5.919626199999999727e+00,-4.321857621048305620e-01,-5.139752487279425353e-02,2.369322283536301477e-02,7.934001571415372212e-01,-3.618234440918994821e-01,5.659134158246952040e-02,-4.321347734579699673e-01,5.175855279254282237e-02,-2.385624113356765719e-02,7.932917770652858636e-01,-3.617745529991980291e-01,-5.698736442115250045e-02,1.049999999999999822e-01,2.930000000000063665e-01,-7.309999999999999831e-01,9.999759495545276211e-01,9.325869230151510782e-04,2.551006301723188294e-03,-6.381454458057520679e-03
5.933609200000000250e+00,-4.323462455163257778e-01,-5.024400616444713030e-02,2.317188914418721879e-02,7.937413135497877192e-01,-3.619773408347537469e-01,5.532580487303738470e-02,-4.319694043033415198e-01,5.291223220536367400e-02,-2.437668964385864001e-02,7.929403121568530111e-01,-3.616160028128998505e-01,-5.825266208417080593e-02,1.049999999999999822e-01,2.879999999999824922e-01,-7.309999999999999831e-01,9.999760604213562276e-01,9.323086831002835514e-04,2.507374116102990217e-03,-6.381415183590613723e-03
5.944041699999999651e+00,-4.326931131493317872e-01,-4.765398071699533666e-02,2.199876195039118798e-02,7.944788796981292478e-01,-3.623100511859540518e-01,5.248314974640513192e-02,-4.315844402835279925e-01,5.550351069302505991e-02,-2.554291464601221584e-02,7.921223668066073031e-01,-3.612470077994451856e-01,-6.109345335694188472e-02,1.099999999999999867e-01,2.709999999999865850e-01,-7.309999999999999831e-01,9.999763815377795684e-01,9.749948557803415254e-04,2.358746211605162318e-03,-6.381384485320334629e-03
5.953702100000000108e+00,-4.332000614032998631e-01,-4.358863653361089163e-02,2.015062771047104739e-02,7.955573110480598231e-01,-3.627965032417694857e-01,4.801832809466109048e-02,-4.309419311269471753e-01,5.957331298420442955e-02,-2.736648794072649160e-02,7.907579299773317416e-01,-3.606314470406046802e-01,-6.555164418561189310e-02,1.099999999999999867e-01,2.709999999999865850e-01,-7.309999999999999831e-01,9.999763815377795684e-01,9.749948557803415254e-04,2.358746211605162318e-03,-6.381384485320334629e-03
5.963574000000000375e+00,-4.337970063809905574e-01,-3.824452986481752248e-02,1.770964107776795693e-02,7.968279180453246013e-01,-3.633696102447814269e-01,4.214406865993532147e-02,-4.300257404144807172e-01,6.492791436929867821e-02,-2.974963099261618282e-02,7.888138616972684147e-01,-3.597543226442185826e-01,-7.141029699231540850e-02,1.049999999999999822e-01,2.599999999999909051e-01,-7.309999999999999831e-01,9.999766460931206469e-01,9.307505067903360874e-04,2.263033790767255728e-03,-6.381195022058736011e-03
5.973871400000000165e+00,-4.344020056236363447e-01,-3.191896653708847786e-02,1.480551867763280072e-02,7.981164707815997517e-01,-3.639507779645452246e-01,3.518450452974571097e-02,-4.288352616006994578e-01,7.127270941726759901e-02,-3.254766185038104886e-02,7.862905131971409389e-01,-3.586157251823371972e-01,-7.834127202856408512e-02,1.049999999999999822e-01,2.599999999999909051e-01,-7.309999999999999831e-01,9.999766460931206469e-01,9.307505067903360874e-04,2.263033790767255728e-03,-6.381195022058736011e-03
5.983107099999999789e+00,-4.349433477928291714e-01,-2.492359062572457873e-02,1.157822674682651432e-02,7.992701297802344840e-01,-3.644710765603855762e-01,2.748113798852735642e-02,-4.273833416063415602e-01,7.829795720353538435e-02,-3.560992819269626075e-02,7.832171763854640645e-01,-3.572287869325725396e-01,-8.600025863378750468e-02,-0.000000000000000000e+00,2.489999999999952252e-01,-7.419999999999999929e-01,9.999766753774494976e-01,1.407001691748218815e-05,2.172887655716054887e-03,-6.475110990039553878e-03
5.993977600000000017e+00,-4.353699203078065794e-01,-1.753606877415592180e-02,8.156067199451610961e-03,8.001796591936249925e-01,-3.648812537925465449e-01,1.933981182155365686e-02,-4.256935523835763124e-01,8.572684167516930742e-02,-3.880310192771618816e-02,7.796460684077803904e-01,-3.556169775324207194e-01,-9.408018634608310282e-02,-0.000000000000000000e+00,2.160000000000081855e-01,-8.070000000000000506e-01,9.999734258945228715e-01,1.327450033212115415e-05,1.884907733540990005e-03,-7.042332809156839728e-03
6.005048000000000386e+00,-4.356524700892860369e-01,-9.979072968328450699e-03,4.644950884849841088e-03,8.007823282770356599e-01,-3.651530345736553329e-01,1.100712268694313024e-02,-4.237960896612051886e-01,9.333658471236128129e-02,-4.202139147647621087e-02,7.756433895656416055e-01,-3.538100796177650054e-01,-1.023346671201142005e-01,-0.000000000000000000e+00,2.160000000000081855e-01,-8.070000000000000506e-01,9.999734258945228715e-01,1.327450033212115415e-05,1.884907733540990005e-03,-7.042332809156839728e-03
6.013562600000000202e+00,-4.357797920355177546e-01,-2.416883268274272467e-03,1.125384277544050349e-03,8.010539595529131418e-01,-3.652755274794161622e-01,2.666048018812518239e-03,-4.217233816319015949e-01,1.009621205916304554e-01,-4.518807206744490657e-02,7.712798223269494713e-01,-3.518399097535391817e-01,-1.105819508121618222e-01,-4.989999999999999991e-01,1.449999999999818101e-01,-9.120000000000000329e-01,9.999580920766640846e-01,-4.344370877000266855e-03,1.299967728700214282e-03,-7.953025586858107968e-03
